cx,cy,cz,count,density,i,j,k
-0.273350,0.005730,-0.035320,3,2.40000000e+04,0,3,6
-0.273350,0.005730,0.014680,9,7.20000000e+04,0,3,7
-0.273350,0.055730,-0.085320,5,4.00000000e+04,0,4,5
-0.273350,0.055730,-0.035320,15,1.20000000e+05,0,4,6
-0.273350,0.055730,0.014680,18,1.44000000e+05,0,4,7
-0.273350,0.055730,0.064680,7,5.60000000e+04,0,4,8
-0.273350,0.055730,0.114680,1,8.00000000e+03,0,4,9
-0.273350,0.105730,0.014680,4,3.20000000e+04,0,5,7
-0.223350,0.005730,-0.035320,4,3.20000000e+04,1,3,6
-0.223350,0.005730,0.014680,6,4.80000000e+04,1,3,7
-0.223350,0.055730,-0.035320,12,9.60000000e+04,1,4,6
-0.223350,0.055730,0.014680,23,1.84000000e+05,1,4,7
-0.223350,0.055730,0.064680,6,4.80000000e+04,1,4,8
-0.223350,0.105730,0.014680,1,8.00000000e+03,1,5,7
-0.173350,0.005730,-0.035320,10,8.00000000e+04,2,3,6
-0.173350,0.005730,0.014680,6,4.80000000e+04,2,3,7
-0.173350,0.055730,-0.035320,7,5.60000000e+04,2,4,6
-0.173350,0.055730,0.014680,9,7.20000000e+04,2,4,7
-0.123350,0.005730,-0.035320,4,3.20000000e+04,3,3,6
-0.123350,0.005730,0.014680,11,8.80000000e+04,3,3,7
-0.123350,0.055730,-0.035320,9,7.20000000e+04,3,4,6
-0.123350,0.055730,0.014680,12,9.60000000e+04,3,4,7
-0.073350,0.005730,-0.035320,7,5.60000000e+04,4,3,6
-0.073350,0.005730,0.014680,12,9.60000000e+04,4,3,7
-0.073350,0.055730,-0.035320,7,5.60000000e+04,4,4,6
-0.073350,0.055730,0.014680,11,8.80000000e+04,4,4,7
-0.023350,-0.044270,-0.335320,1,8.00000000e+03,5,2,0
-0.023350,-0.044270,-0.285320,1,8.00000000e+03,5,2,1
-0.023350,-0.044270,-0.235320,1,8.00000000e+03,5,2,2
-0.023350,-0.044270,-0.135320,2,1.60000000e+04,5,2,4
-0.023350,-0.044270,-0.085320,1,8.00000000e+03,5,2,5
-0.023350,-0.044270,-0.035320,1,8.00000000e+03,5,2,6
-0.023350,-0.044270,0.064680,3,2.40000000e+04,5,2,8
-0.023350,-0.044270,0.114680,1,8.00000000e+03,5,2,9
-0.023350,-0.044270,0.164680,1,8.00000000e+03,5,2,10
-0.023350,-0.044270,0.214680,1,8.00000000e+03,5,2,11
-0.023350,-0.044270,0.264680,1,8.00000000e+03,5,2,12
-0.023350,-0.044270,0.314680,1,8.00000000e+03,5,2,13
-0.023350,0.005730,-0.335320,4,3.20000000e+04,5,3,0
-0.023350,0.005730,-0.285320,5,4.00000000e+04,5,3,1
-0.023350,0.005730,-0.235320,2,1.60000000e+04,5,3,2
-0.023350,0.005730,-0.185320,5,4.00000000e+04,5,3,3
-0.023350,0.005730,-0.135320,2,1.60000000e+04,5,3,4
-0.023350,0.005730,-0.085320,4,3.20000000e+04,5,3,5
-0.023350,0.005730,-0.035320,14,1.12000000e+05,5,3,6
-0.023350,0.005730,0.014680,15,1.20000000e+05,5,3,7
-0.023350,0.005730,0.064680,5,4.00000000e+04,5,3,8
-0.023350,0.005730,0.114680,2,1.60000000e+04,5,3,9
-0.023350,0.005730,0.164680,5,4.00000000e+04,5,3,10
-0.023350,0.005730,0.214680,4,3.20000000e+04,5,3,11
-0.023350,0.005730,0.264680,5,4.00000000e+04,5,3,12
-0.023350,0.005730,0.314680,3,2.40000000e+04,5,3,13
-0.023350,0.005730,0.364680,1,8.00000000e+03,5,3,14
-0.023350,0.055730,-0.035320,10,8.00000000e+04,5,4,6
-0.023350,0.055730,0.014680,14,1.12000000e+05,5,4,7
-0.023350,0.105730,0.014680,2,1.60000000e+04,5,5,7
0.026650,-0.144270,-0.085320,4,3.20000000e+04,6,0,5
0.026650,-0.144270,-0.035320,4,3.20000000e+04,6,0,6
0.026650,-0.144270,0.064680,4,3.20000000e+04,6,0,8
0.026650,-0.144270,0.114680,1,8.00000000e+03,6,0,9
0.026650,-0.094270,-0.085320,9,7.20000000e+04,6,1,5
0.026650,-0.094270,-0.035320,4,3.20000000e+04,6,1,6
0.026650,-0.094270,0.064680,3,2.40000000e+04,6,1,8
0.026650,-0.094270,0.114680,2,1.60000000e+04,6,1,9
