cx,cy,cz,count,density,i,j,k
-0.440367,-0.125872,-0.045642,37,2.96000000e+05,0,16,6
-0.440367,-0.125872,0.004358,16,1.28000000e+05,0,16,7
-0.440367,-0.075872,0.004358,31,2.48000000e+05,0,17,7
-0.440367,-0.025872,0.004358,163,1.30400000e+06,0,18,7
-0.440367,-0.025872,0.054358,2,1.60000000e+04,0,18,8
-0.440367,0.124128,-0.295642,76,6.08000000e+05,0,21,1
-0.440367,0.124128,-0.245642,451,3.60800000e+06,0,21,2
-0.440367,0.124128,-0.195642,399,3.19200000e+06,0,21,3
-0.440367,0.124128,-0.145642,145,1.16000000e+06,0,21,4
-0.440367,0.124128,-0.095642,5,4.00000000e+04,0,21,5
-0.440367,0.174128,-0.295642,9,7.20000000e+04,0,22,1
-0.440367,0.174128,-0.245642,246,1.96800000e+06,0,22,2
-0.440367,0.174128,-0.195642,331,2.64800000e+06,0,22,3
-0.440367,0.174128,-0.145642,360,2.88000000e+06,0,22,4
-0.440367,0.174128,-0.095642,341,2.72800000e+06,0,22,5
-0.440367,0.174128,-0.045642,279,2.23200000e+06,0,22,6
-0.440367,0.174128,0.004358,6,4.80000000e+04,0,22,7
-0.440367,0.224128,-0.245642,19,1.52000000e+05,0,23,2
-0.440367,0.224128,-0.195642,224,1.79200000e+06,0,23,3
-0.440367,0.224128,-0.145642,441,3.52800000e+06,0,23,4
-0.440367,0.224128,-0.095642,467,3.73600000e+06,0,23,5
-0.440367,0.224128,-0.045642,542,4.33600000e+06,0,23,6
-0.440367,0.224128,0.004358,317,2.53600000e+06,0,23,7
-0.440367,0.224128,0.054358,3,2.40000000e+04,0,23,8
-0.440367,0.274128,-0.145642,100,8.00000000e+05,0,24,4
-0.440367,0.274128,-0.095642,270,2.16000000e+06,0,24,5
-0.440367,0.274128,-0.045642,385,3.08000000e+06,0,24,6
-0.440367,0.274128,0.004358,210,1.68000000e+06,0,24,7
